Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
'LAND ROVER','RANGE ROVER SUPERCHARGED','SUV - STANDARD',5,8,AS8,E,25,16.9,21.4,13,342
MAZDA,'MAZDA3 5-DOOR (SIL)',MID-SIZE,2.5,4,M6,X,9.2,6.6,8.1,35,190
TOYOTA,CAMRY,MID-SIZE,2.5,4,AS6,X,9.8,7.1,8.6,33,199
MINI,'COOPER S CLUBMAN',SUBCOMPACT,1.6,4,A6,Z,9.3,7,8.3,34,191
CHEVROLET,'Silverado LD','PICKUP TRUCK - STANDARD',5.3,8,A6,X,15.6,10.9,13.5,21,317
GMC,'YUKON 4WD','SUV - STANDARD',6.2,8,A10,Z,16.4,10.7,13.8,20,325
DODGE,'CHARGER AWD',FULL-SIZE,5.7,8,A5,X,16,10.1,13.3,21,312
FORD,'Shelby GT350 Mustang',SUBCOMPACT,5.2,8,M6,Z,17.1,11.4,14.5,19,342
CHEVROLET,'SONIC 5 RS',MID-SIZE,1.4,4,M6,X,8.9,6.9,8,35,184
CHEVROLET,'CRUZE PREMIER',COMPACT,1.4,4,AS6,X,8.1,6,7.2,39,169
MINI,'COOPER S CLUBMAN ALL4',MID-SIZE,2,4,M6,Z,11.4,7.8,9.7,29,227
MINI,'COOPER CLUBMAN',SUBCOMPACT,1.6,4,A6,Z,8.7,6.6,7.8,36,179
HONDA,'Civic Coupe',COMPACT,2,4,AV,X,7.8,6.1,7.1,40,164
MINI,'Cooper Clubman ALL4',MID-SIZE,1.5,3,AS8,Z,9.7,7,8.5,33,197
KIA,RIO,COMPACT,1.6,4,M6,X,8.7,6.4,7.7,37,177
ROLLS-ROYCE,'PHANTOM COUPE',COMPACT,6.7,12,A8,Z,20.7,12.8,17.1,17,393
'ALFA ROMEO','STELVIO AWD','SUV - SMALL',2,4,A8,Z,10.8,8.3,9.6,29,226
PORSCHE,'CAYENNE PLATINUM','SUV - STANDARD',3.6,6,A8,Z,13.6,10.2,12.1,23,281
LEXUS,'RC F',SUBCOMPACT,5,8,AS8,Z,14.4,9.6,12.2,23,285
BMW,'M6 GRAN COUPE',COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
KIA,RONDO,'STATION WAGON - MID-SIZE',2,4,M6,X,10.8,7.4,9.3,30,214
FORD,'EXPLORER FFV AWD','SUV - STANDARD',3.5,6,AS6,X,14.5,10.6,12.7,22,299
DODGE,'Durango AWD SRT','SUV - STANDARD',6.4,8,A8,Z,18.3,12.2,15.6,18,363
PORSCHE,'CAYMAN S',TWO-SEATER,3.4,6,AM7,Z,11.3,7.9,9.8,29,230
TOYOTA,VENZA,'SUV - SMALL',3.5,6,AS6,X,12.5,9,10.9,26,256
INFINITI,'Q70 AWD',MID-SIZE,5.6,8,AS7,Z,14.9,10.2,12.8,22,300
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,20.9,13,17.3,16,405
DODGE,Challenger,MID-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
NISSAN,'SENTRA NISMO',MID-SIZE,1.6,4,AV7,Z,9.4,7.8,8.7,32,205
AUDI,'TT ROADSTER QUATTRO',TWO-SEATER,2,4,AM6,X,10.1,7.8,9.1,31,209
FORD,'F-150 FFV','PICKUP TRUCK - STANDARD',3.5,6,A6,E,17.9,13.2,15.8,18,258
HYUNDAI,'SONATA SPORT/LIMITED',FULL-SIZE,2.4,4,AS6,X,10,7.2,8.7,32,207
JEEP,Compass,'SUV - SMALL',2.4,4,A6,X,10.6,7.6,9.3,30,218
CHRYSLER,'300 (MDS)',FULL-SIZE,5.7,8,A8,X,14.8,9.3,12.3,23,283
DODGE,Charger,FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
'ASTON MARTIN',VANQUISH,MINICOMPACT,6,12,A8,Z,17.6,11.4,14.8,19,340
LEXUS,'ES 300h',MID-SIZE,2.5,4,AV6,X,5.8,6.2,6,47,138
DODGE,CHALLENGER,MID-SIZE,6.4,8,M6,Z,16.7,10.4,13.9,20,325
CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,9,6.8,8,35,187
LEXUS,'LS 500',MID-SIZE,3.4,6,AS10,Z,12.2,7.8,10.2,28,240
MINI,'John Cooper Works Clubman ALL4',MID-SIZE,2,4,AS8,Z,10.1,7.6,9,31,210
HONDA,'Insight Touring',MID-SIZE,1.5,4,AV,X,4.6,5.3,4.9,58,114
TOYOTA,Sienna,MINIVAN,3.5,6,AS8,X,12.4,8.9,10.8,26,254
BMW,'X4 xDrive30i','SUV - SMALL',2,4,AS8,Z,10,8.2,9.2,31,215
BMW,'640i xDrive Gran Turismo',FULL-SIZE,3,6,AS8,Z,11.9,8.4,10.3,27,241
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,20.9,13,17.3,16,405
LEXUS,'GX 460','SUV - STANDARD',4.6,8,AS6,Z,16,12.9,14.6,19,341
BMW,'X1 xDRIVE28i','SUV - SMALL',2,4,AS8,Z,10.7,7.5,9.3,30,217
BMW,'ALPINA B7 xDRIVE SWB',FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
MINI,'COOPER S CONVERTIBLE',MINICOMPACT,1.6,4,M6,Z,9.1,6.8,8.1,35,186
FORD,'Mustang (Performance Pkg)',SUBCOMPACT,2.3,4,M6,X,11.8,8.7,10.4,27,244
CHEVROLET,'COLORADO 4WD','PICKUP TRUCK - SMALL',2.5,4,A6,X,12.6,9.8,11.3,25,266
CHEVROLET,'Silverado 4WD FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,E,22.3,18.1,20.5,14,342
FORD,'EXPLORER FFV','SUV - STANDARD',3.5,6,AS6,E,18.6,13,16.1,18,258
FORD,FLEX,'SUV - STANDARD',3.5,6,AS6,X,14.7,10.2,12.7,22,298
MERCEDES-BENZ,'B 250','STATION WAGON - SMALL',2,4,AS7,Z,9.2,6.6,8,35,184
MERCEDES-BENZ,'GL 350 BLUETEC 4MATIC','SUV - STANDARD',3,6,AS7,D,13.6,10,12,24,324
NISSAN,VERSA,MID-SIZE,1.6,4,AV,X,7.6,6.2,7,40,164
PORSCHE,'911 CARRERA 4 GTS CABRIOLET',MINICOMPACT,3,6,M7,Z,12.9,9.1,11.1,25,260
GENESIS,G70,COMPACT,2,4,M6,Z,12.8,8.5,10.9,26,255
DODGE,'DART FFV',MID-SIZE,2,4,A6,E,14.2,9.8,12.2,23,195
PORSCHE,'911 TURBO CABRIOLET',MINICOMPACT,3.8,6,AM7,Z,12.6,9.9,11.4,25,267
TOYOTA,C-HR,COMPACT,2,4,AS7,X,8.7,7.5,8.2,34,189
PORSCHE,'PANAMERA 4',FULL-SIZE,3.6,6,AM7,Z,13.1,8.7,11.1,25,262
VOLKSWAGEN,'GOLF ALLTRACK','STATION WAGON - SMALL',1.8,4,AM6,X,10.7,8,9.4,30,220
MERCEDES-BENZ,'METRIS CARGO','SPECIAL PURPOSE VEHICLE',2,4,AS7,Z,10.8,9.5,10.2,28,233
'ALFA ROMEO','GIULIA QUADRIFOGLIO',MID-SIZE,2.9,6,A8,Z,13.8,9.6,11.9,24,280
BENTLEY,'CONTINENTAL GT3-R',TWO-SEATER,4,8,AS8,Z,17.6,10.1,14.2,20,327
MERCEDES-BENZ,'AMG C 43 4MATIC Wagon','STATION WAGON - SMALL',3,6,A9,Z,12.4,8.9,10.8,26,255
PORSCHE,'911 TURBO S',MINICOMPACT,3.8,6,AM7,Z,12.6,9.9,11.4,25,266
BUICK,'Envision AWD','SUV - SMALL',2,4,A9,Z,11.7,9.4,10.7,26,250
BMW,'328i xDRIVE TOURING','STATION WAGON - SMALL',2,4,A8,Z,10.6,7.2,9.1,31,209
RAM,'1500 DIESEL','PICKUP TRUCK - STANDARD',3,6,A8,D,11.6,8.4,10.2,28,275
PORSCHE,'PANAMERA 4S EXECUTIVE',FULL-SIZE,3,6,AM7,Z,13.7,8.9,11.5,25,264
VOLKSWAGEN,'GOLF WAGON TDI (modified)','STATION WAGON - SMALL',2,4,M6,D,8.3,6,7.3,39,196
LEXUS,'CT 200h',COMPACT,1.8,4,AV,X,5.5,5.8,5.6,50,129
JAGUAR,'XF 35t AWD',MID-SIZE,3,6,AS8,Z,12,8.4,10.4,27,243
LEXUS,'RX 450h AWD','SUV - STANDARD',3.5,6,AV6,Z,7.5,8.4,7.9,36,185
BMW,'M760i xDRIVE',FULL-SIZE,6.6,12,AS8,Z,17.7,11.9,15.1,19,355
NISSAN,'Armada 4WD','SUV - STANDARD',5.6,8,AS7,X,17.5,12.9,15.4,18,362
NISSAN,'MURANO AWD','STATION WAGON - MID-SIZE',3.5,6,AV7,X,11.2,8.4,9.9,29,232
LEXUS,'ES 300h',MID-SIZE,2.5,4,AV6,X,5.8,6.1,5.9,48,136
BMW,'440i xDRIVE COUPE',COMPACT,3,6,M6,Z,12.2,8.4,10.5,27,245
BENTLEY,'CONTINENTAL GT',COMPACT,6,12,AS8,Z,18.9,11.2,15.4,18,360
HYUNDAI,'Sonata Hybrid',FULL-SIZE,2,4,AM6,X,5.3,4.6,5,56,117
BUICK,'Envision AWD','SUV - SMALL',2,4,A9,Z,11.7,9.4,10.7,26,250
HONDA,'ACCORD HYBRID',MID-SIZE,2,4,AV,X,4.7,5.3,5,56,115
TOYOTA,Corolla,COMPACT,1.8,4,AV,X,7.9,6.1,7.1,40,165
BENTLEY,'CONTINENTAL GT',COMPACT,6,12,AS8,Z,18.9,11.2,15.4,18,360
VOLKSWAGEN,'GOLF WAGON TDI (modified)','STATION WAGON - SMALL',2,4,M6,D,8.3,6,7.3,39,196
HONDA,'Civic Sedan',MID-SIZE,2,4,AV,X,7.9,6.1,7.1,40,167
MITSUBISHI,RVR,'SUV - SMALL',2,4,M5,X,9.9,7.6,8.8,32,202
BMW,'328d xDRIVE',COMPACT,2,4,A8,D,7.6,5.5,6.7,42,181
VOLVO,'S60 INSCRIPTION T5 AWD',COMPACT,2,4,AS8,X,10.7,7.8,9.4,30,219
BUICK,'ENVISION AWD','SUV - SMALL',2,4,A6,Z,11.8,9.1,10.6,27,248
INFINITI,'Q60 CONVERTIBLE',SUBCOMPACT,3.7,6,M6,Z,14.3,9.8,12.3,23,283
CHEVROLET,TRAX,'SUV - SMALL',1.4,4,AS6,X,9.4,7.1,8.4,34,193
PORSCHE,'MACAN TURBO','SUV - SMALL',3.6,6,A7,Z,14.2,10.1,12.3,23,287
BMW,'X1 xDRIVE35i','SUV - SMALL',3,6,AS8,Z,13.2,8.9,11.2,25,258
TOYOTA,'VENZA 4WD','SUV - SMALL',3.5,6,AS6,X,12.8,9.3,11.3,25,263
LINCOLN,'Navigator 4X4','SUV - STANDARD',3.5,6,AS10,X,15,11.5,13.4,21,315
NISSAN,'Altima SR/Platinum',MID-SIZE,2.5,4,AV,X,8.5,6.3,7.5,38,177
CHEVROLET,'TAHOE FFV','SUV - STANDARD',5.3,8,A6,E,20.5,14,17.6,16,288
DODGE,DART,MID-SIZE,2.4,4,M6,X,10.5,6.7,8.8,32,202
SUBARU,'FORESTER AWD','SUV - SMALL',2.5,4,M6,X,10.6,8.4,9.6,29,227
LEXUS,'GS 350',MID-SIZE,3.5,6,AS8,Z,11.9,8.1,10.2,28,237
BMW,'M240i Cabriolet',SUBCOMPACT,3,6,M6,Z,12.7,8.8,10.9,26,255
KIA,SOUL,'STATION WAGON - SMALL',1.6,4,AS6,X,9.4,7.8,8.7,32,205
BUICK,'ENVISION AWD','SUV - SMALL',2.5,4,A6,X,11.1,8.6,10,28,234
HYUNDAI,Accent,COMPACT,1.6,4,M6,X,7.8,6.1,7,40,168
TOYOTA,TUNDRA,'PICKUP TRUCK - STANDARD',5.7,8,AS6,X,17.6,12.9,15.5,18,356
CADILLAC,ATS-V,COMPACT,3.6,6,AS8,Z,14.7,9.8,12.5,23,293
LEXUS,'RC 350 AWD',SUBCOMPACT,3.5,6,AS6,Z,13.1,9.8,11.2,25,262
KIA,Soul,'STATION WAGON - SMALL',2,4,AS6,X,9.5,7.8,8.7,32,206
HYUNDAI,'SANTA FE SPORT 4WD','SUV - SMALL',2.4,4,A6,X,12.5,9.4,11.1,25,255
HONDA,CIVIC,COMPACT,1.8,4,M5,X,8.5,6.6,7.6,37,175
CHEVROLET,'CRUZE ECO',MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,40,163
MITSUBISHI,LANCER,COMPACT,2.4,4,M5,X,10.5,7.7,9.2,31,217
JEEP,'RENEGADE FFV','SUV - SMALL',2.4,4,A9,E,14.4,10.2,12.5,23,206
VOLKSWAGEN,'BEETLE CONVERTIBLE',SUBCOMPACT,2,4,AS6,X,9,7.2,8.2,34,191
JEEP,'Cherokee 4X4 Active Drive Lock','SUV - SMALL',3.2,6,A9,X,12.9,9.9,11.6,24,269
SUBARU,'Forester AWD','SUV - SMALL',2.5,4,AV7,X,9,7.2,8.2,34,192
DODGE,DART,MID-SIZE,2.4,4,A6,X,10.1,6.8,8.6,33,198
BMW,'440i xDrive Coupe',COMPACT,3,6,M6,Z,13,8.5,11,26,256
AUDI,'TTS Coupe',SUBCOMPACT,2,4,AM7,Z,10.4,8.2,9.4,30,220
DODGE,'Challenger Widebody (MDS)',MID-SIZE,6.4,8,M6,Z,16.7,10.4,13.9,20,325
LEXUS,'RX 350 AWD','SUV - SMALL',3.5,6,AS8,X,12.2,9,10.8,26,252
CHEVROLET,'EQUINOX AWD FFV','SUV - SMALL',2.4,4,A6,X,11.5,8.3,10.1,28,237
CHEVROLET,SILVERADO,'PICKUP TRUCK - STANDARD',6.2,8,A8,Z,16.1,11.4,14,20,322
LEXUS,'RC 300 AWD',SUBCOMPACT,3.5,6,AS6,Z,12.6,9.2,11,26,258
HYUNDAI,'GENESIS AWD',FULL-SIZE,5,8,AS8,Z,17.3,10.5,14.2,20,327
BMW,'330i xDRIVE',COMPACT,2,4,AS8,Z,10.2,7.2,8.9,32,208
BMW,'428i COUPE',COMPACT,2,4,M6,Z,10.7,7,9,31,211
KIA,'SPORTAGE AWD','SUV - SMALL',2.4,4,AS6,X,11.3,9.5,10.5,27,247
LINCOLN,'MKX AWD','SUV - SMALL',2.7,6,AS6,X,14.1,9.8,12.1,23,284
SUBARU,BRZ,MINICOMPACT,2,4,AS6,Z,9.6,7.1,8.5,33,196
GMC,'Sierra WT 4WD','PICKUP TRUCK - STANDARD',2.7,4,A8,X,12.7,11,12,24,280
RAM,'1500 ECODIESEL HFE','PICKUP TRUCK - STANDARD',3,6,A8,D,11.3,8,9.8,29,264
JAGUAR,'XF 25t AWD',MID-SIZE,2,4,AS8,Z,10.1,7.2,8.8,32,207
CHEVROLET,'EQUINOX FFV','SUV - SMALL',2.4,4,A6,E,15.6,10.8,13.4,21,221
VOLKSWAGEN,'GOLF ALLTRACK','STATION WAGON - SMALL',1.8,4,AM6,X,10.7,8,9.4,30,220
ACURA,NSX,TWO-SEATER,3.5,6,AM9,Z,11.1,10.8,11,26,261
TOYOTA,86,MINICOMPACT,2,4,AS6,Z,9.9,7.3,8.7,32,204
MERCEDES-BENZ,'AMG S 65 Coupe',COMPACT,6,12,A9,Z,17.6,11,14.6,19,343
CADILLAC,'CTS Vsport',MID-SIZE,3.6,6,AS8,Z,15,9.9,12.7,22,311
VOLKSWAGEN,'GOLF SPORTWAGEN','STATION WAGON - SMALL',1.8,4,AS6,X,9.6,7.2,8.5,33,199
HONDA,PILOT,'SUV - SMALL',3.5,6,A6,X,12.4,8.8,10.8,26,254
GMC,'YUKON FFV','SUV - STANDARD',5.3,8,A6,E,19.8,13.9,17.2,16,285
HYUNDAI,'SONATA HYBRID SE',MID-SIZE,2,4,AM6,X,5.9,5.1,5.6,50,132
INFINITI,Q70,MID-SIZE,3.7,6,AS7,Z,12.8,8.9,11,26,253
CHEVROLET,'EXPRESS 3500 PASSENGER','VAN - PASSENGER',6,8,A6,E,30.2,20.5,25.8,11,413
MINI,'COOPER CONVERTIBLE',MINICOMPACT,1.6,4,A6,Z,8.7,6.6,7.8,36,179
HYUNDAI,Elantra,MID-SIZE,2,4,AV,X,7.8,5.6,6.8,42,161
FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,13.6,8.4,11.2,25,264
CHEVROLET,'Colorado ZR2 4WD','PICKUP TRUCK - SMALL',3.6,6,A8,X,15,13,14.1,20,331
BENTLEY,'CONTINENTAL GT',COMPACT,6,12,AS8,Z,18.9,11.2,15.4,18,360
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS8,Z,15.5,9.2,12.7,22,297
AUDI,A8,FULL-SIZE,4,8,AS8,Z,15.1,9.1,12.4,23,290
RAM,'1500 ECODIESEL HFE','PICKUP TRUCK - STANDARD',3,6,A8,D,11.3,8,9.8,29,264
'LAND ROVER','Range Rover 3.0','SUV - STANDARD',3,6,AS8,Z,14.1,10.3,12.4,23,291
GMC,Acadia,'SUV - STANDARD',2.5,4,A6,X,11.1,9.2,10.2,28,237
PORSCHE,'Panamera 4',FULL-SIZE,3,6,AM8,Z,12.4,9,10.9,26,253
FORD,'FOCUS FFV',COMPACT,2,4,A6,X,8.8,6.4,7.7,37,177
JAGUAR,'XF 35t AWD',MID-SIZE,3,6,AS8,Z,12,8.4,10.4,27,243
MAZDA,'Mazda3 4-Door',COMPACT,2.5,4,AS6,X,8.8,6.4,7.7,37,181
CADILLAC,'CTS SPORT WAGON','STATION WAGON - SMALL',3.6,6,AS6,X,13.3,8.9,11.3,25,260
TOYOTA,TACOMA,'PICKUP TRUCK - SMALL',2.7,4,A4,X,12.2,9.3,10.9,26,251
TOYOTA,'COROLLA LE ECO (1-mode)',MID-SIZE,1.8,4,AV,X,7.7,5.6,6.8,42,160
GMC,'Sierra 4WD','PICKUP TRUCK - STANDARD',3,6,A10,D,10.5,9.1,9.9,29,265
FORD,FUSION,MID-SIZE,2,4,AS6,X,10.5,7.1,9,31,207
DODGE,CHALLENGER,MID-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
MINI,'COOPER S COUNTRYMAN  ALL4',MID-SIZE,2,4,M6,Z,11.3,7.7,9.7,29,227
TOYOTA,CAMRY,MID-SIZE,2.5,4,AS6,X,9.7,6.9,8.4,34,193
JEEP,'Grand Cherokee 4X4 SRT','SUV - STANDARD',6.4,8,A8,Z,18.3,12.6,15.7,18,368
BMW,'X5 xDRIVE35i','SUV - STANDARD',3,6,AS8,Z,13,9.8,11.5,25,270
PORSCHE,'CAYENNE TURBO','SUV - STANDARD',4.8,8,A8,Z,16.3,11,13.9,20,326
JAGUAR,'XJ R-SPORT 3.0 AWD',FULL-SIZE,3,6,AS8,Z,14,9,11.8,24,276
PORSCHE,'PANAMERA TURBO S EXECUTIVE',FULL-SIZE,4.8,8,AM7,Z,15.4,9.8,12.9,22,297
INFINITI,'Q60 COUPE',SUBCOMPACT,3.7,6,M6,Z,13.5,9.3,11.6,24,267
FORD,'FOCUS FFV',COMPACT,2,4,AM6,E,11.9,8.5,10.4,27,166
MERCEDES-BENZ,'S 560 4MATIC',FULL-SIZE,4,8,A9,Z,13.5,8.6,11.3,25,265
MERCEDES-BENZ,'SLS AMG ROADSTER',TWO-SEATER,6.2,8,AS7,Z,18.2,12.6,15.7,18,361
AUDI,Q7,'SUV - STANDARD',2,4,AS8,Z,12.2,9.5,11,26,258
LEXUS,'IS 350',COMPACT,3.5,6,AS8,Z,12.3,8.5,10.6,27,246
AUDI,S8,MID-SIZE,4,8,AS8,Z,15.8,9.2,12.8,22,300
MINI,'JOHN COOPER WORKS COUPE',TWO-SEATER,1.6,4,M6,Z,9.1,6.8,8.1,35,186
NISSAN,'NV200 CARGO VAN','SPECIAL PURPOSE VEHICLE',2,4,AV,X,9.7,9,9.4,30,216
FORD,EXPLORER,'SUV - STANDARD',2,4,A6,X,11.9,8.5,10.4,27,239
PORSCHE,'911 CARRERA S',MINICOMPACT,3.8,6,AM7,Z,12.1,8.7,10.6,27,244
KIA,Sorento,'SUV - SMALL',2.4,4,AS6,X,10.7,8.2,9.6,29,225
BMW,'M850i xDrive Gran Coupe',MID-SIZE,4.4,8,AS8,Z,14.5,9.9,12.4,23,290
DODGE,'DART GT',MID-SIZE,2.4,4,M6,X,10.2,7,8.8,32,207
CHEVROLET,'Cruze Diesel',COMPACT,1.6,4,A9,D,7.6,4.9,6.4,44,172
TOYOTA,'TACOMA 4WD','PICKUP TRUCK - SMALL',4,6,M6,X,15.3,12.3,14,20,322
TOYOTA,'RAV4 AWD','SUV - SMALL',2.5,4,AS8,X,9.2,7.1,8.3,34,190
SUBARU,BRZ,MINICOMPACT,2,4,AS6,Z,9.6,7.1,8.5,33,196
CHEVROLET,'CAMARO ZL1',COMPACT,6.2,8,M6,Z,16.6,12.4,14.7,19,338
FIAT,'500 CABRIO',MINICOMPACT,1.4,4,A6,X,8.7,7.1,8,35,186
PORSCHE,CAYENNE,'SUV - STANDARD',3.6,6,M6,Z,15.8,10.9,13.6,21,313
MITSUBISHI,MIRAGE,COMPACT,1.2,3,AV,X,6.4,5.4,6,47,138
FORD,'F-150 FFV 4X4','PICKUP TRUCK - STANDARD',5,8,AS10,E,20,15.6,18,16,300
FORD,'F-150 4X4 (Payload Pkg)','PICKUP TRUCK - STANDARD',3.5,6,AS10,X,14,11,12.7,22,298
PORSCHE,'PANAMERA TURBO S EXECUTIVE',FULL-SIZE,4.8,8,AM7,Z,15.4,9.8,12.9,22,297
SUBARU,'Impreza 5-Door AWD','STATION WAGON - SMALL',2,4,M5,X,10.1,7.7,9,31,211
CHEVROLET,'SILVERADO 4WD','PICKUP TRUCK - STANDARD',4.3,6,A6,X,14.1,10.6,12.5,23,288
FORD,'ESCAPE AWD','SUV - SMALL',1.6,4,AS6,X,10.5,7.9,9.4,30,220
CHEVROLET,'Suburban FFV','SUV - STANDARD',5.3,8,A6,X,15.7,10.5,13.4,21,314
MINI,'COOPER S PACEMAN ALL4',COMPACT,1.6,4,AS6,Z,10.1,7.8,9,31,207
ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12,AS8,Z,20.9,12.7,17.2,16,396
MERCEDES-BENZ,'E 400 CABRIOLET',SUBCOMPACT,3,6,AS7,Z,11.5,8.1,10,28,233
TOYOTA,'HIGHLANDER HYBRID AWD','SUV - STANDARD',3.5,6,AV6,X,8,8.6,8.3,34,191
MAZDA,'MAZDA3 5-DOOR (SIL)',MID-SIZE,2.5,4,M6,X,9.2,6.6,8.1,35,186
ACURA,'MDX HYBRID AWD','SUV - SMALL',3,6,AM7,Z,9.1,9,9,31,210
GMC,'Sierra FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,X,15.7,11.9,14,20,329
HONDA,'CIVIC SEDAN Si',MID-SIZE,1.5,4,M6,Z,8.4,6.2,7.4,38,173
CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,9.2,7.1,8.3,34,194
JEEP,'RENEGADE 4X4','SUV - SMALL',1.4,4,M6,X,9.9,7.7,8.9,32,211
PORSCHE,'CAYENNE TURBO S','SUV - STANDARD',4.8,8,A8,Z,18,11.9,15.2,19,358
JEEP,'CHEROKEE TRAILHAWK 4X4','SUV - SMALL',2.4,4,A9,X,12.1,9.4,10.9,26,255
CHRYSLER,'Voyager (Stop-Start)',MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27,249
INFINITI,'Q60 AWD COUPE',SUBCOMPACT,3.7,6,AS7,Z,13.3,9.4,11.5,25,265
CHEVROLET,SUBURBAN,'SUV - STANDARD',5.3,8,A6,X,14.9,10.1,12.7,22,292
NISSAN,'NV200 CARGO VAN','SPECIAL PURPOSE VEHICLE',2,4,AV,X,9.8,8.8,9.3,30,218
VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4,M6,X,9.5,6.4,8.1,35,189
VOLVO,'S60 POLESTAR AWD',COMPACT,3,6,AS6,X,12.8,8.9,11,26,253
BMW,'535i xDRIVE GRAN TURISMO',FULL-SIZE,3,6,A8,Z,12.5,8.6,10.7,26,246
JEEP,'GRAND CHEROKEE 4X4 (MDS)','SUV - STANDARD',5.7,8,A8,X,16.7,10.7,14,20,329
NISSAN,SENTRA,MID-SIZE,1.8,4,AV,X,8,6.1,7.2,39,166
FORD,'F-150 4X4','PICKUP TRUCK - STANDARD',2.7,6,AS6,X,13.1,10.1,11.7,24,275
RAM,'1500 4X4 FFV','PICKUP TRUCK - STANDARD',3.6,6,A8,E,20.7,14.7,18,16,300
BMW,'650i xDRIVE COUPE',COMPACT,4.4,8,AS8,Z,14.4,9.7,12.3,23,283
PORSCHE,'911 TURBO CABRIOLET',MINICOMPACT,3.8,6,AM7,Z,13.7,9.6,11.9,24,274
MERCEDES-BENZ,'METRIS CARGO','SPECIAL PURPOSE VEHICLE',2,4,AS7,Z,11.1,9.1,10.2,28,240
FIAT,'500 HATCHBACK',MINICOMPACT,1.4,4,M5,X,7.6,5.9,6.8,42,156
DODGE,'VIPER SRT',TWO-SEATER,8.4,10,M6,Z,19.2,11.3,15.6,18,364
GMC,'YUKON XL DENALI 4WD','SUV - STANDARD',6.2,8,A6,Z,16.8,11.7,14.5,19,334
MAZDA,'MAZDA3 4-DOOR (SIL)',COMPACT,2,4,M6,X,8.5,6.2,7.5,38,175
FORD,'T-150 Wagon FFV 4WD','VAN - PASSENGER',3.5,6,AS10,X,16.7,12.8,15,19,352
SUBARU,'OUTBACK AWD','SUV - SMALL',2.5,4,M6,X,11,8.3,9.8,29,229
FORD,'TRANSIT CONNECT VAN FFV','SPECIAL PURPOSE VEHICLE',2.5,4,AS6,X,11.9,8.7,10.4,27,244
TOYOTA,'SEQUOIA 4WD','SUV - STANDARD',5.7,8,AS6,X,18.4,13.8,16.4,17,384
PORSCHE,Cayenne,'SUV - STANDARD',3,6,AS8,Z,12.5,10,11.4,25,265
LEXUS,'RX 450h AWD','SUV - STANDARD',3.5,6,AV6,Z,7.5,8.4,7.9,36,185
HYUNDAI,'SANTA FE SPORT AWD','SUV - SMALL',2.4,4,AS6,X,12.5,9.3,11.1,25,255
AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347
BENTLEY,Bentayga,'SUV - STANDARD',6,12,AS8,Z,20,13.8,17.2,16,401
CHRYSLER,'300 AWD FFV',FULL-SIZE,3.6,6,A8,E,17.6,12,15,19,248
MITSUBISHI,'OUTLANDER 4WD','SUV - SMALL',3,6,AS6,Z,11.5,8.5,10.2,28,235
MERCEDES-BENZ,'GLC 300 4MATIC COUPE','SUV - SMALL',2,4,A9,Z,11,8.7,10,28,235
TOYOTA,'4RUNNER 4WD','SUV - STANDARD',4,6,AS5,X,14.3,11.9,13.2,21,308
MERCEDES-BENZ,'GL 450 4MATIC','SUV - STANDARD',3,6,AS7,Z,15.2,12.6,14,20,298
JEEP,'CHEROKEE 4X4 ACTIVE DRIVE II','SUV - SMALL',2.4,4,A9,X,11.4,8.6,10.1,28,232
MITSUBISHI,LANCER,COMPACT,2,4,AV6,X,9.2,7,8.2,34,189
MERCEDES-BENZ,'GLE 400 4MATIC','SUV - STANDARD',3,6,A9,Z,13.1,10.1,11.7,24,276
MERCEDES-BENZ,'AMG GLE 63 S 4MATIC','SUV - STANDARD',5.5,8,AS7,Z,17.3,13.5,15.6,18,366
INFINITI,Q70,MID-SIZE,3.7,6,AS7,Z,12.8,8.9,11,26,253
SCION,tC,COMPACT,2.5,4,M6,X,10.2,7.6,9,31,207
LINCOLN,'MKX AWD','SUV - SMALL',3.7,6,AS6,X,13.7,10.4,12.2,23,281
MERCEDES-BENZ,'E 400 COUPE',SUBCOMPACT,3,6,AS7,Z,11.8,8.4,10.2,28,239
